iter	Passed	Remaining
612	75785	295105
613	75916	295010
614	76037	294878
615	76169	294784
616	76288	294644
617	76405	294496
618	76541	294417
619	76669	294313
620	76791	294181
621	76916	294063
622	77034	293918
623	77181	293882
624	77355	293951
625	77476	293814
626	77603	293704
627	77738	293623
628	77863	293503
629	77984	293370
630	78134	293344
631	78259	293224
632	78379	293088
633	78503	292963
634	78632	292859
635	78787	292850
636	78907	292711
637	79031	292590
638	79169	292518
639	79294	292397
640	79410	292246
641	79537	292133
642	79664	292021
643	79797	291931
644	79920	291804
645	80006	291540
646	80173	291572
647	80313	291506
648	80432	291368
649	80540	291184
650	80666	291070
651	80797	290969
652	80918	290834
653	81040	290706
654	81164	290582
655	81288	290458
656	81403	290302
657	81534	290202
658	81657	290077
659	81783	289959
660	81902	289819
661	82050	289779
662	82181	289681
663	82309	289572
664	82432	289442
665	82581	289407
666	82714	289316
667	82853	289244
668	82984	289144
669	83104	289003
670	83236	288908
671	83361	288788
672	83486	288668
673	83609	288539
674	83727	288394
675	83855	288285
676	83981	288167
677	84100	288025
678	84221	287890
679	84323	287690
680	84449	287575
681	84565	287422
682	84693	287311
683	84819	287194
684	84952	287103
685	85063	286933
686	85190	286820
687	85310	286683
688	85445	286596
689	85575	286492
690	85698	286362
691	85820	286232
692	85951	286131
693	86109	286122
694	86239	286017
695	86363	285893
696	86502	285818
697	86635	285724
698	86754	285583
699	86898	285523
700	87029	285420
701	87155	285305
702	87271	285152
703	87405	285062
704	87531	284943
705	87653	284810
706	87776	284684
707	87898	284553
708	88021	284423
709	88150	284317
710	88278	284205
711	88402	284078
712	88527	283958
713	88671	283897
714	88795	283772
715	88921	283655
716	89050	283544
717	89174	283419
718	89288	283263
719	89419	283161
720	89546	283045
721	89672	282927
722	89790	282782
723	89921	282681
724	90070	282633
725	90194	282511
726	90324	282404
727	90448	282278
728	90573	282157
729	90699	282038
730	90825	281919
731	90941	281770
732	91059	281625
733	91193	281531
734	91316	281404
735	91437	281269
736	91561	281145
737	91687	281027
738	91812	280904
739	91937	280782
740	92055	280638
741	92183	280524
742	92306	280398
743	92426	280262
744	92546	280123
745	92672	280005
746	92797	279883
747	92918	279748
748	93049	279646
749	93164	279494
750	93282	279350
751	93407	279227
752	93532	279105
753	93645	278950
754	93773	278836
755	93892	278696
756	94015	278568
757	94140	278447
758	94261	278313
759	94388	278199
760	94510	278068
761	94631	277934
762	94747	277785
763	94868	277652
764	94992	277526
765	95108	277379
766	95236	277266
767	95356	277129
768	95474	276986
769	95572	276788
770	95706	276692
771	95841	276598
772	95975	276504
773	96096	276370
774	96212	276223
775	96334	276091
776	96463	275983
777	96603	275903
778	96734	275798
779	96851	275652
780	96979	275542
781	97104	275419
782	97228	275295
783	97360	275191
784	97486	275072
785	97627	274997
786	97770	274926
787	97901	274819
788	98033	274717
789	98171	274632
790	98291	274494
791	98418	274379
792	98544	274258
793	98662	274117
794	98778	273969
795	98900	273839
796	99022	273710
797	99133	273548
798	99256	273420
799	99384	273306
800	99509	273185
801	99648	273100
802	99793	273033
803	99922	272922
804	100039	272777
805	100161	272648
806	100284	272520
807	100404	272384
808	100522	272244
809	100647	272121
810	100771	271996
811	100898	271878
812	101023	271757
813	101149	271637
814	101270	271504
815	101392	271373
816	101504	271218
817	101628	271092
818	101749	270959
819	101878	270847
820	102004	270729
821	102124	270591
822	102267	270517
823	102387	270382
824	102506	270244
825	102623	270100
826	102734	269941
827	102862	269827
828	102988	269707
829	103115	269591
830	103236	269457
831	103356	269322
832	103481	269201
